11.25	24.0
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'2101207U1'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
607,3350219726562;	153,0;	0,0;	0,0
607,4614868164062;	153,5;	0,0;	0,0
607,5878295898438;	146,75;	0,0;	0,0
607,7142944335938;	155,75;	0,0;	0,0
607,8406982421875;	152,25;	0,0;	0,0
607,967041015625;	147,0;	0,0;	0,0
608,0933837890625;	141,75;	0,0;	0,0
608,2197265625;	155,25;	0,0;	0,0
608,3460083007812;	153,25;	0,0;	0,0
608,4723510742188;	150,5;	0,0;	0,0
608,5986328125;	141,0;	0,0;	0,0
608,7249755859375;	143,75;	0,0;	0,0
608,8511352539062;	152,0;	0,0;	0,0
608,9774169921875;	145,0;	0,0;	0,0
609,1036376953125;	144,25;	0,0;	0,0
609,2297973632812;	148,0;	0,0;	0,0
609,3560180664062;	243,25;	0,0;	0,0
609,4822387695312;	246,5;	0,0;	0,0
609,6083374023438;	243,5;	0,0;	0,0
609,7344970703125;	257,0;	0,0;	0,0
609,8606567382812;	252,0;	0,0;	0,0
609,9866943359375;	253,0;	0,0;	0,0
610,11279296875;	263,25;	0,0;	0,0
610,2388916015625;	341,75;	0,0;	0,0
610,3649291992188;	572,5;	0,0;	0,0
610,490966796875;	380,0;	0,0;	0,0
610,6170043945312;	265,0;	0,0;	0,0
610,7430419921875;	266,0;	0,0;	0,0
610,8689575195312;	242,75;	0,0;	0,0
610,9949340820312;	263,75;	0,0;	0,0
611,1209106445312;	252,5;	0,0;	0,0
611,246826171875;	250,5;	0,0;	0,0
611,3727416992188;	245,5;	0,0;	0,0
611,4987182617188;	251,25;	0,0;	0,0
611,6245727539062;	240,25;	0,0;	0,0
611,7504272460938;	241,75;	0,0;	0,0
611,8762817382812;	256,25;	0,0;	0,0
612,0020751953125;	262,75;	0,0;	0,0
612,1279296875;	302,5;	0,0;	0,0
612,2537231445312;	520,0;	0,0;	0,0
612,3794555664062;	324,25;	0,0;	0,0
612,5052490234375;	257,5;	0,0;	0,0
612,6310424804688;	249,25;	0,0;	0,0
612,7567749023438;	238,25;	0,0;	0,0
612,8824462890625;	258,5;	0,0;	0,0
613,0081787109375;	274,0;	0,0;	0,0
613,1339111328125;	244,25;	0,0;	0,0
613,259521484375;	241,5;	0,0;	0,0
613,3851928710938;	250,0;	0,0;	0,0
613,5108642578125;	243,25;	0,0;	0,0
613,6364135742188;	244,0;	0,0;	0,0
613,7620849609375;	247,0;	0,0;	0,0
613,8876953125;	247,25;	0,0;	0,0
614,01318359375;	254,5;	0,0;	0,0
614,1387939453125;	256,5;	0,0;	0,0
614,2643432617188;	296,0;	0,0;	0,0
614,3897705078125;	247,0;	0,0;	0,0
614,5152587890625;	257,5;	0,0;	0,0
614,6408081054688;	268,75;	0,0;	0,0
614,7662963867188;	266,25;	0,0;	0,0
614,8917236328125;	267,5;	0,0;	0,0
615,0171508789062;	256,5;	0,0;	0,0
615,142578125;	261,25;	0,0;	0,0
615,2679443359375;	249,75;	0,0;	0,0
615,3933715820312;	247,5;	0,0;	0,0
615,5187377929688;	261,75;	0,0;	0,0
615,6441040039062;	255,75;	0,0;	0,0
615,7693481445312;	264,5;	0,0;	0,0
615,8947143554688;	278,75;	0,0;	0,0
616,0199584960938;	271,75;	0,0;	0,0
616,145263671875;	395,75;	0,0;	0,0
616,2705688476562;	703,75;	0,0;	0,0
616,3958129882812;	348,25;	0,0;	0,0
616,5210571289062;	278,75;	0,0;	0,0
616,6463012695312;	276,75;	0,0;	0,0
616,771484375;	283,25;	0,0;	0,0
616,8966064453125;	301,25;	0,0;	0,0
617,0217895507812;	328,5;	0,0;	0,0
617,14697265625;	272,25;	0,0;	0,0
617,2720947265625;	263,75;	0,0;	0,0
617,397216796875;	270,0;	0,0;	0,0
617,5222778320312;	265,5;	0,0;	0,0
617,6473388671875;	261,75;	0,0;	0,0
617,7723999023438;	266,5;	0,0;	0,0
617,8975219726562;	264,75;	0,0;	0,0
618,0225219726562;	257,5;	0,0;	0,0
618,1475219726562;	247,75;	0,0;	0,0
618,2725219726562;	252,25;	0,0;	0,0
618,3974609375;	259,75;	0,0;	0,0
618,5224609375;	261,75;	0,0;	0,0
618,6473999023438;	249,75;	0,0;	0,0
618,7723999023438;	246,75;	0,0;	0,0
618,897216796875;	258,5;	0,0;	0,0
619,0221557617188;	258,75;	0,0;	0,0
619,1470336914062;	252,25;	0,0;	0,0
619,2718505859375;	240,75;	0,0;	0,0
619,3966674804688;	235,75;	0,0;	0,0
619,5215454101562;	255,75;	0,0;	0,0
619,6463623046875;	238,25;	0,0;	0,0
619,7711791992188;	238,5;	0,0;	0,0
619,8959350585938;	231,75;	0,0;	0,0
620,0206298828125;	239,25;	0,0;	0,0
620,1454467773438;	239,25;	0,0;	0,0
620,2702026367188;	242,0;	0,0;	0,0
620,394775390625;	245,75;	0,0;	0,0
620,51953125;	245,25;	0,0;	0,0
620,6442260742188;	255,5;	0,0;	0,0
620,7688598632812;	248,5;	0,0;	0,0
620,8934936523438;	243,5;	0,0;	0,0
621,0181274414062;	246,25;	0,0;	0,0
621,1427612304688;	244,5;	0,0;	0,0
621,2672729492188;	241,75;	0,0;	0,0
621,3919067382812;	256,25;	0,0;	0,0
621,5164794921875;	235,75;	0,0;	0,0
621,6409301757812;	244,5;	0,0;	0,0
621,7655029296875;	230,75;	0,0;	0,0
621,8900756835938;	234,25;	0,0;	0,0
622,0144653320312;	244,5;	0,0;	0,0
622,1389770507812;	233,75;	0,0;	0,0
622,2634887695312;	236,25;	0,0;	0,0
622,3878173828125;	231,25;	0,0;	0,0
622,5122680664062;	241,5;	0,0;	0,0
622,6366577148438;	235,75;	0,0;	0,0
622,7611083984375;	216,75;	0,0;	0,0
622,8854370117188;	223,0;	0,0;	0,0
623,009765625;	246,0;	0,0;	0,0
623,1341552734375;	237,25;	0,0;	0,0
623,2584228515625;	245,75;	0,0;	0,0
623,3827514648438;	244,25;	0,0;	0,0
623,507080078125;	229,5;	0,0;	0,0
623,6312866210938;	250,0;	0,0;	0,0
623,7555541992188;	223,0;	0,0;	0,0
623,8797607421875;	246,75;	0,0;	0,0
624,0039672851562;	234,5;	0,0;	0,0
624,128173828125;	236,75;	0,0;	0,0
624,2523803710938;	213,5;	0,0;	0,0
624,37646484375;	237,5;	0,0;	0,0
624,5006713867188;	235,25;	0,0;	0,0
624,624755859375;	234,25;	0,0;	0,0
624,7489624023438;	235,75;	0,0;	0,0
624,8729858398438;	242,75;	0,0;	0,0
624,9970703125;	237,75;	0,0;	0,0
625,1211547851562;	236,0;	0,0;	0,0
625,2451782226562;	233,5;	0,0;	0,0
625,3692016601562;	250,25;	0,0;	0,0
625,4932861328125;	243,25;	0,0;	0,0
625,6171875;	246,25;	0,0;	0,0
625,7412109375;	230,0;	0,0;	0,0
625,8651733398438;	246,25;	0,0;	0,0
625,9890747070312;	241,0;	0,0;	0,0
626,113037109375;	241,5;	0,0;	0,0
626,2369384765625;	243,0;	0,0;	0,0
626,3607788085938;	224,0;	0,0;	0,0
626,4846801757812;	218,5;	0,0;	0,0
626,6085815429688;	236,5;	0,0;	0,0
626,732421875;	227,25;	0,0;	0,0
626,8561401367188;	231,0;	0,0;	0,0
626,9800415039062;	232,5;	0,0;	0,0
627,1038208007812;	229,75;	0,0;	0,0
627,2275390625;	230,25;	0,0;	0,0
627,351318359375;	216,0;	0,0;	0,0
627,4750366210938;	221,5;	0,0;	0,0
627,5986938476562;	238,25;	0,0;	0,0
627,7224731445312;	226,25;	0,0;	0,0
627,84619140625;	227,0;	0,0;	0,0
627,9697875976562;	216,5;	0,0;	0,0
628,093505859375;	220,25;	0,0;	0,0
